"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"covr","covr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.5.1",NA,"R (>= 3.1.0), methods","digest, stats, utils, jsonlite, rex, httr, crayon, withr (>=
1.0.2), yaml",NA,"R6, curl, knitr, rmarkdown, htmltools, DT (>= 0.2), testthat,
rlang, rstudioapi (>= 0.2), xml2 (>= 1.0.0), parallel, memoise,
mockery",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"cowplot","cowplot","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.1",NA,"R (>= 3.5.0)","ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"cpp11","cpp11","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.2",NA,NA,NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat, tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"crayon","crayon","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.5.1",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"credentials","credentials","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.0",NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"crosstalk","crosstalk","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.1",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"cubature","cubature","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.4.1",NA,NA,"Rcpp","Rcpp","testthat, knitr, mvtnorm, benchr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"cubelyr","cubelyr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.1",NA,"R (>= 3.3)","dplyr, glue, pillar, purrr, rlang, tibble, tidyselect",NA,"covr, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"Cubist","Cubist","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.3",NA,"lattice","reshape2, utils",NA,"mlbench, caret, knitr, modeldata, dplyr (>= 0.7.4), rlang,
tidyrules",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.0"
"curl","curl","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.3.2",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"CVST","CVST","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2-2",NA,"kernlab,Matrix",NA,NA,NA,NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.0.0"
"d3Network","d3Network","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.2.1",NA,"R (>= 3.0.0)","plyr, rjson, whisker",NA,"RCurl",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.0"
"data.table","data.table","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.14.0",NA,"R (>= 3.1.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), curl, R.utils, xts,
nanotime, zoo (>= 1.8-1), yaml, knitr, rmarkdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"datadrivencv","datadrivencv","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.0",NA,NA,"dplyr, tidyr, glue, readr, googlesheets4, lubridate, purrr,
stringr, magrittr, pagedown, fs, icon (>= 0.1.0), whisker",NA,"knitr, rmarkdown, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"DataExplorer","DataExplorer","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.8.2",NA,"R (>= 3.6)","data.table (>= 1.13.4), reshape2 (>= 1.4.3), scales (>=
1.1.0), ggplot2, gridExtra, rmarkdown (>= 2.5), networkD3 (>=
0.4), stats, utils, tools, parallel",NA,"testthat, covr, knitr, jsonlite, nycflights13",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"datapasta","datapasta","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.1.0",NA,"R (>= 3.3.0)","readr (>= 1.2.0), clipr (>= 0.3.0), rstudioapi (>= 0.6),
methods",NA,"tibble (>= 1.2), testthat, knitr, rmarkdown, utils, covr,
data.table",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"datasets","datasets","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.3","base",NA,NA,NA,NA,NA,"Part of R 4.0.3",NA,NA,NA,NA,NA,"4.0.3"
"datawizard","datawizard","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.0",NA,"R (>= 3.4)","insight (>= 0.17.0), stats, utils",NA,"bayestestR, boot, effectsize, gamm4, ggplot2, knitr, lme4,
MASS, modelbased, parameters, poorman, psych, rmarkdown,
rstanarm, see, spelling, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"DBI","DBI","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.1",NA,"methods, R (>= 3.0.0)",NA,NA,"blob, covr, dbplyr, dplyr, glue, hms, knitr, magrittr,
rmarkdown, rprojroot, RMariaDB, RSQLite (>= 1.1-2), testthat,
xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.2"
"dbplyr","dbplyr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.1.1",NA,"R (>= 3.1)","assertthat (>= 0.2.0), blob (>= 1.2.0), DBI (>= 1.0.0), dplyr
(>= 1.0.4), ellipsis, glue (>= 1.2.0), lifecycle (>= 1.0.0),
magrittr, methods, purrr (>= 0.2.5), R6 (>= 2.2.2), rlang (>=
0.2.0), tibble (>= 1.4.2), tidyselect (>= 0.2.4), utils, vctrs,
withr",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc, RMariaDB (>=
1.0.2), rmarkdown, RPostgres (>= 1.1.3), RPostgreSQL, RSQLite
(>= 2.1.0), testthat (>= 3.0.2), tidyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"ddalpha","ddalpha","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.11",NA,"R (>= 2.10), stats, utils, graphics, grDevices, MASS, class,
robustbase, sfsmisc, geometry","Rcpp (>= 0.11.0)","BH, Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.0"
"deldir","deldir","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2-10",NA,"R (>= 3.5.0)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"DEoptimR","DEoptimR","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0-8",NA,NA,"stats",NA,NA,"robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"desc","desc","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4.1",NA,"R (>= 3.4)","cli, R6, rprojroot, utils",NA,"callr, covr, gh, spelling, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"DescTools","DescTools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.99.40",NA,"base, stats, R (>= 3.6.0)","graphics, grDevices, methods, MASS, utils, boot, mvtnorm,
expm, Rcpp (>= 0.12.10), rstudioapi, Exact, gld","Rcpp, BH","RDCOMClient, tcltk, VGAM, R.rsp",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"deSolve","deSolve","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.28",NA,"R (>= 3.3.0)","methods, graphics, grDevices, stats",NA,"scatterplot3d, FME",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"devtools","devtools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.3.2",NA,"R (>= 3.0.2), usethis (>= 1.6.3)","callr (>= 3.4.4), cli (>= 2.0.2), covr (>= 3.5.1), desc (>=
1.2.0), DT (>= 0.15), ellipsis (>= 0.3.1), httr (>= 1.4.2),
jsonlite (>= 1.7.1), memoise (>= 1.1.0), pkgbuild (>= 1.1.0),
pkgload (>= 1.1.0), rcmdcheck (>= 1.3.3), remotes (>= 2.2.0),
rlang (>= 0.4.7), roxygen2 (>= 7.1.1), rstudioapi (>= 0.11),
rversions (>= 2.0.2), sessioninfo (>= 1.1.1), stats, testthat
(>= 2.3.2), tools, utils, withr (>= 2.2.0)",NA,"BiocManager (>= 1.30.10), curl (>= 4.3), digest (>= 0.6.25),
foghorn (>= 1.3.1), gmailr (>= 1.0.0), knitr (>= 1.29), lintr
(>= 2.0.1), MASS, mockery (>= 0.4.2), pingr (>= 2.0.1), pkgdown
(>= 1.6.1), rhub (>= 1.1.1), rmarkdown (>= 2.3), spelling (>=
2.1)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"DHARMa","DHARMa","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.0",NA,"R (>= 3.0.2)","stats, graphics, utils, grDevices, parallel, doParallel,
foreach, gap, lmtest, ape, qgam (>= 1.3.2), lme4",NA,"knitr, testthat, rmarkdown, KernSmooth, sfsmisc, MASS, mgcv,
glmmTMB (>= 1.0.1), spaMM (>= 3.2.0), GLMMadaptive",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"dichromat","dichromat","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0-0",NA,"R (>= 2.10), stats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.0.0"
"diffobj","diffobj","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.5",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"digest","digest","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.6.29",NA,"R (>= 3.3.0)","utils",NA,"tinytest, simplermarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"dimRed","dimRed","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.3",NA,"R (>= 3.0.0), DRR","magrittr, methods",NA,"NMF, MASS, Matrix, RANN, RSpectra, Rtsne, cccd, coRanking,
diffusionMap, energy, fastICA, ggplot2, graphics, igraph,
keras, kernlab, knitr, lle, loe, optimx, pcaL1, pcaPP,
reticulate, rgl, scales, scatterplot3d, stats, tensorflow,
testthat, tidyr, tinytex, umap, vegan",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"distributional","distributional","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.2",NA,NA,"vctrs (>= 0.3.0), rlang (>= 0.4.5), generics, ellipsis, stats,
numDeriv, ggplot2, scales, farver, digest, utils, lifecycle",NA,"testthat (>= 2.1.0), covr, mvtnorm, actuar, ggdist",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"doMC","doMC","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.7",NA,"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel","utils",NA,NA,"compiler, RUnit","GPL-2",NA,NA,"unix",NA,"no","4.0.2"
"doParallel","doParallel","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.16",NA,"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","4.0.2"
"dotCall64","dotCall64","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0-1",NA,"R (>= 3.1)",NA,NA,"microbenchmark, OpenMPController, RColorBrewer, roxygen2,
spam, testthat,",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"downlit","downlit","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.1",NA,"R (>= 3.2.0)","brio, digest, evaluate, fansi, rlang, vctrs, yaml",NA,"rmarkdown, jsonlite, MASS, testthat (>= 3.0.0), covr,
pkgload, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"dplyr","dplyr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.8",NA,"R (>= 3.4.0)","generics, glue (>= 1.3.2), lifecycle (>= 1.0.1), magrittr (>=
1.5), methods, R6, rlang (>= 1.0.0), tibble (>= 2.1.3),
tidyselect (>= 1.1.1), utils, vctrs (>= 0.3.5), pillar (>=
1.5.1)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 1.4.3), ggplot2,
knitr, Lahman, lobstr, microbenchmark, nycflights13, purrr,
rmarkdown, RMySQL, RPostgreSQL, RSQLite, testthat (>= 3.1.1),
tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"DRR","DRR","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.0.4",NA,"kernlab, CVST, Matrix","stats, methods",NA,"knitr, rmarkdown",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"DT","DT","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.18",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), jsonlite (>=
0.9.16), magrittr, crosstalk, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.6), bslib, testit",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"dtplyr","dtplyr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.0",NA,"R (>= 3.3)","crayon, data.table (>= 1.12.4), dplyr (>= 1.0.3), ellipsis,
glue, lifecycle, rlang, tibble, tidyselect, vctrs",NA,"bench, covr, knitr, rmarkdown, testthat (>= 3.0.0), tidyr (>=
1.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"dygraphs","dygraphs","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.1.6",NA,"R (>= 3.0)","magrittr, htmlwidgets (>= 0.6), htmltools (>= 0.3.5), zoo (>=
1.7-10), xts (>= 0.9-7)",NA,"testthat","rmarkdown (>= 0.3.3), shiny (>= 0.10.2.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"e1071","e1071","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.7-6",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"earth","earth","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","5.3.0",NA,"R (>= 3.4.0), Formula (>= 1.2-3), plotmo (>= 3.6.0),
TeachingDemos (>= 2.10)",NA,NA,"gam (>= 1.20), mgcv (>= 1.8-26), mda (>= 0.5-2), MASS (>=
7.3-51)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"effects","effects","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.2-0",NA,"R (>= 3.5.0), carData","lme4, nnet, lattice, grid, colorspace, graphics, grDevices,
stats, survey, utils, estimability, insight",NA,"pbkrtest (>= 0.4-4), nlme, MASS, poLCA, heplots, splines,
ordinal, car, knitr, betareg, alr4, robustlmm",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"effectsize","effectsize","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.5",NA,"R (>= 3.4)","bayestestR (>= 0.9.0), insight (>= 0.14.0), parameters (>=
0.13.0), stats, utils",NA,"afex, BayesFactor, boot, brms, car, correlation, covr, dplyr,
emmeans, gamm4, ggplot2, knitr, lavaan, lm.beta, lme4,
lmerTest, MASS, mediation, mgcv, modelbased, MuMIn,
performance, pscl, rmarkdown, rms, rstanarm, rstantools, see,
spelling, testthat, tidymodels, tidyr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"elasticnet","elasticnet","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3",NA,"R (>= 2.10), lars",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"ellipse","ellipse","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.2",NA,"R (>= 2.0.0),graphics,stats",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"ellipsis","ellipsis","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"elliptic","elliptic","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4-0",NA,"R (>= 2.5.0)","MASS",NA,"emulator, calibrator (>= 1.2-8)",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"emmeans","emmeans","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.5.5-1",NA,"R (>= 3.5.0)","estimability (>= 1.3), graphics, methods, numDeriv, stats,
utils, plyr, mvtnorm, xtable (>= 1.8-2)",NA,"bayesplot, bayestestR, biglm, brms, car, coda (>= 0.17),
ggplot2, lattice, logspline, mediation, mgcv, multcomp,
multcompView, nlme, ordinal (>= 2014.11-12), pbkrtest (>=
0.4-1), lme4, lmerTest (>= 2.0.32), MASS, MuMIn, rsm, knitr,
rmarkdown, scales, splines, testthat","CARBayes, coxme, gee, geepack, MCMCglmm, MCMCpack, mice,
nnet, pscl, rstanarm, sommer, survival","GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.2"
"emo","emo","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.0.0.9000",NA,"R (>= 2.10)","stringr, glue (>= 1.3.0), crayon, utils, magrittr, assertthat,
lubridate, rlang, purrr",NA,"testthat, dplyr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.1"
"emuR","emuR","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.2.0",NA,"R (>= 3.5.0)","tools, utils, graphics, methods, rlang, stringr (>= 1.4.0),
uuid, base64enc, shiny, wrassp (>= 0.1.4), jsonlite (>= 1.6.1),
RSQLite (>= 2.0.0), DBI (>= 0.3.1), httpuv (>= 1.3.2), dplyr
(>= 0.7.8), readr (>= 1.1.1), tibble (>= 1.4.2), purrr (>=
0.2.4), tidyr(>= 0.8.2), mime(>= 0.6), rstudioapi(>= 0.10),
httr(>= 1.4.1), V8(>= 3.4.0)",NA,"stats, grDevices, MASS, ggplot2(>= 2.1.0), testthat(>=
0.7.1.99), compare(>= 0.2.4), knitr(>= 1.7), rmarkdown(>=
0.9.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"esquisse","esquisse","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.1",NA,NA,"miniUI, rstudioapi, shiny (>= 1.1.0), htmltools, jsonlite,
shinyWidgets (>= 0.4.5), ggplot2 (>= 3.0.0), scales, stringi,
rlang (>= 0.3.1), grDevices",NA,"officer, rvg, rio, DT, testthat (>= 2.1.0), knitr, ggthemes,
hrbrthemes",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"estimability","estimability","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3",NA,"stats",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.0"
"evaluate","evaluate","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.15",NA,"R (>= 3.0.2)","methods",NA,"covr, ggplot2, lattice, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"Exact","Exact","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.1",NA,"R (>= 3.1.0)","graphics, stats, rootSolve",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"expm","expm","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.999-6",NA,"Matrix","methods",NA,"RColorBrewer, sfsmisc, Rmpfr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"extraDistr","extraDistr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.9.1",NA,"R (>= 3.1.0)","Rcpp","Rcpp","testthat, LaplacesDemon, VGAM, evd, hoa, skellam, triangle,
actuar",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"extrafont","extrafont","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.17",NA,"R (>= 2.15)","extrafontdb, grDevices, utils, Rttf2pt1",NA,"fontcm",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"extrafontdb","extrafontdb","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0",NA,"R (>= 2.14)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.0.0"
"eyetrackingR","eyetrackingR","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.8",NA,"R (>= 3.2.0), dplyr (>= 0.7.4)","broom (>= 0.3.7), ggplot2 (>= 2.0), lazyeval (>= 0.1.10), zoo
(>= 1.7-12), tidyr (>= 0.3.1), purrr (>= 0.2.4)",NA,"pbapply, knitr, lme4 (>= 1.1-10), Matrix, testthat,
rmarkdown, doMC, foreach",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"fansi","fansi","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.3",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"farver","farver","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.1.0",NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"fastGHQuad","fastGHQuad","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0",NA,"Rcpp (>= 0.11.0)",NA,"Rcpp",NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"fastICA","fastICA","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2-2",NA,"R (>= 3.0.0)",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.0"
"fastmap","fastmap","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.0",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"fBasics","fBasics","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3042.89.1",NA,"R (>= 2.15.1), timeDate, timeSeries","stats, grDevices, graphics, methods, utils, MASS, spatial,
gss, stabledist",NA,"akima, RUnit, tcltk",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"fdrtool","fdrtool","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.16",NA,"R (>= 3.0.2)","graphics, grDevices, stats",NA,"",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.2"
"fGarch","fGarch","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3042.83.2",NA,"R (>= 2.15.1), timeDate, timeSeries, fBasics","fastICA, Matrix, graphics, methods, stats, utils",NA,"RUnit, tcltk",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"fields","fields","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","11.6",NA,"R (>= 3.0), methods, spam","maps",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"fitdistrplus","fitdistrplus","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1-6",NA,"R (>= 3.5.0), MASS, grDevices, survival, methods","stats",NA,"actuar, rgenoud, mc2d, gamlss.dist, knitr, ggplot2,
GeneralizedHyperbolic, rmarkdown, Hmisc",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"flextable","flextable","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.6.7",NA,NA,"stats, utils, grDevices, graphics, officer (>= 0.3.19),
rmarkdown, knitr, htmltools, xml2, data.table (>= 1.13.0), uuid
(>= 0.1-4), gdtools (>= 0.1.6), rlang, base64enc",NA,"testthat (>= 2.1.0), xtable, webshot, magick, ggplot2,
scales, broom, mgcv, bookdown, equatags",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"forcats","forcats","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.1",NA,"R (>= 3.2)","ellipsis, magrittr, rlang, tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"foreach","foreach","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.5.1",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.0.2"
"forecast","forecast","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","8.14",NA,"R (>= 3.0.2),","colorspace, fracdiff, ggplot2 (>= 2.2.1), graphics, lmtest,
magrittr, nnet, parallel, Rcpp (>= 0.11.0), stats, timeDate,
tseries, urca, zoo","Rcpp (>= 0.11.0), RcppArmadillo (>= 0.2.35)","forecTheta, knitr, methods, rmarkdown, rticles, seasonal,
testthat, uroot",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"foreign","foreign","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.8-81","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"formattable","formattable","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.1",NA,"R (> 3.0.2)","methods, htmltools, htmlwidgets, knitr, rmarkdown",NA,"testthat, DT, shiny, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"Formula","Formula","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2-4",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.2"
"fracdiff","fracdiff","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.5-1",NA,NA,"stats",NA,"longmemo, forecast, urca",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
